Price,Close,High,Low,Open,Volume
Ticker,^OEX,^OEX,^OEX,^OEX,^OEX
Date,,,,,
2022-06-22,1718.1700439453125,1738.5699462890625,1700.72998046875,1708.8199462890625,5058990000
2022-06-23,1736.1500244140625,1739.4100341796875,1711.5799560546875,1725.2900390625,5098640000
2022-06-24,1789.199951171875,1790.260009765625,1747.989990234375,1747.989990234375,8120260000
2022-06-27,1780.8900146484375,1797.3299560546875,1775.5799560546875,1793.719970703125,4325310000
2022-06-28,1740.5999755859375,1801.699951171875,1739.97998046875,1785.5699462890625,4270120000
2022-06-29,1743.43994140625,1752.7900390625,1733.75,1742.72998046875,4211240000
2022-06-30,1725.6099853515625,1740.77001953125,1703.1400146484375,1728.1099853515625,4840070000
2022-07-01,1743.1300048828125,1744.739990234375,1710.4100341796875,1723.5799560546875,4046950000
2022-07-05,1751.5799560546875,1751.9300537109375,1707.5899658203125,1729.3599853515625,5076590000
2022-07-06,1758.9000244140625,1770.780029296875,1741.9100341796875,1751.3900146484375,4417720000
2022-07-07,1785.8800048828125,1789.199951171875,1764.3900146484375,1764.3900146484375,4057770000
2022-07-08,1786.3499755859375,1794.050048828125,1770.6099853515625,1777.0,3521620000
2022-07-11,1762.8599853515625,1778.47998046875,1759.1400146484375,1778.47998046875,3423480000
2022-07-12,1746.1600341796875,1773.030029296875,1738.780029296875,1764.47998046875,3817210000
2022-07-13,1738.8900146484375,1751.9300537109375,1718.3199462890625,1727.9599609375,4109390000
2022-07-14,1737.5999755859375,1740.4200439453125,1702.81005859375,1722.56005859375,4199690000
2022-07-15,1770.52001953125,1770.719970703125,1749.8499755859375,1749.8499755859375,4143800000
2022-07-18,1754.030029296875,1789.5799560546875,1748.3900146484375,1780.77001953125,4046870000
2022-07-19,1800.449951171875,1801.5899658203125,1766.530029296875,1766.6800537109375,4041070000
2022-07-20,1811.8299560546875,1819.6400146484375,1794.52001953125,1800.97998046875,4185300000
2022-07-21,1831.280029296875,1831.449951171875,1797.1700439453125,1810.8699951171875,4132790000
2022-07-22,1810.760009765625,1835.1700439453125,1800.25,1829.56005859375,3979240000
2022-07-25,1810.699951171875,1815.8199462890625,1800.1300048828125,1812.72998046875,3568340000
2022-07-26,1784.8599853515625,1802.8800048828125,1780.18994140625,1802.8800048828125,3778950000
2022-07-27,1837.510009765625,1845.239990234375,1801.4100341796875,1803.280029296875,4112180000
2022-07-28,1855.18994140625,1859.75,1819.9599609375,1836.8499755859375,4413000000
2022-07-29,1885.5899658203125,1890.449951171875,1860.8299560546875,1865.719970703125,4616360000
2022-08-01,1880.9300537109375,1895.93994140625,1871.449951171875,1877.5400390625,4202810000
2022-08-02,1866.4000244140625,1889.2900390625,1861.93994140625,1872.72998046875,4727710000
2022-08-03,1901.93994140625,1907.8900146484375,1875.300048828125,1875.300048828125,4351760000
2022-08-04,1900.3599853515625,1905.93994140625,1890.81005859375,1902.5799560546875,4283320000
